year,month,location,latitude,longitude,protected bicycle lane,two-way roadway,count
2016,5,Hudson River Greenway,40.789547 ,-73.982622 ,1,0,6532
2016,7,Hudson River Greenway,40.789547 ,-73.982622 ,1,0,6995
2016,9,Hudson River Greenway,40.789547 ,-73.982622 ,1,0,6476
2016,5,Twelfth Ave,40.761689 ,-74.001506 ,0,1,176
2016,7,Twelfth Ave,40.761689 ,-74.001506 ,0,1,139
2016,9,Twelfth Ave,40.761689 ,-74.001506 ,0,1,206
2016,5,Eleventh Ave,40.745436 ,-74.008148 ,0,1,553
2016,7,Eleventh Ave,40.745436 ,-74.008148 ,0,1,540
2016,9,Eleventh Ave,40.745436 ,-74.008148 ,0,1,620
2016,5,Tenth Ave,40.743088 ,-74.007708 ,0,0,783
2016,7,Tenth Ave,40.743088 ,-74.007708 ,0,0,759
2016,9,Tenth Ave,40.743088 ,-74.007708 ,0,0,698
2016,5,Ninth Ave,40.769415 ,-73.984751 ,1,0,1974
2016,7,Ninth Ave,40.769415 ,-73.984751 ,1,0,1945
2016,9,Ninth Ave,40.769415 ,-73.984751 ,1,0,2193
2016,5,Eighth Ave,40.751102 ,-73.994487 ,1,0,2093
2016,7,Eighth Ave,40.751102 ,-73.994487 ,1,0,2242
2016,9,Eighth Ave,40.751102 ,-73.994487 ,1,0,2338
2016,5,Broadway,40.812631 ,-73.960524 ,1,0,1522
2016,7,Broadway,40.812631 ,-73.960524 ,1,0,1305
2016,9,Broadway,40.812631 ,-73.960524 ,1,0,1240
2016,5,Seventh Ave ,40.752059 ,-73.990027 ,0,0,643
2016,7,Seventh Ave ,40.752059 ,-73.990027 ,0,0,1324
2016,9,Seventh Ave ,40.752059 ,-73.990027 ,0,0,1149
2016,5,Sixth Ave ,40.743131 ,-73.992884 ,0,0,1819
2016,7,Sixth Ave ,40.743131 ,-73.992884 ,0,0,1855
2016,9,Sixth Ave ,40.743131 ,-73.992884 ,0,0,1932
2016,5,Fifth Ave ,40.774610 ,-73.965628 ,0,0,1377
2016,7,Fifth Ave ,40.774610 ,-73.965628 ,0,0,1704
2016,9,Fifth Ave ,40.774610 ,-73.965628 ,0,0,1816
2016,5,Madison Ave ,40.742421 ,-73.987054 ,0,0,996
2016,7,Madison Ave ,40.742421 ,-73.987054 ,0,0,1135
2016,9,Madison Ave ,40.742421 ,-73.987054 ,0,0,1366
2016,5,Park Ave,40.804520 ,-73.939457 ,0,1,1314
2016,7,Park Ave,40.804520 ,-73.939457 ,0,1,1264
2016,9,Park Ave,40.804520 ,-73.939457 ,0,1,1410
2016,5,Lexington Ave,40.773219 ,-73.960245 ,0,0,1197
2016,7,Lexington Ave,40.773219 ,-73.960245 ,0,0,974
2016,9,Lexington Ave,40.773219 ,-73.960245 ,0,0,1188
2016,5,Third Ave,40.761450 ,-73.966804 ,0,0,974
2016,7,Third Ave,40.761450 ,-73.966804 ,0,0,1133
2016,9,Third Ave,40.761450 ,-73.966804 ,0,0,1247
2016,5,Second Ave,40.764424 ,-73.961715 ,1,0,1975
2016,7,Second Ave,40.764424 ,-73.961715 ,1,0,2036
2016,9,Second Ave,40.764424 ,-73.961715 ,1,0,2706
2016,5,First Ave,40.763585 ,-73.959177 ,1,0,1648
2016,7,First Ave,40.763585 ,-73.959177 ,1,0,2023
2016,9,First Ave,40.763585 ,-73.959177 ,1,0,2201
2017,5,Hudson River Greenway,40.789547 ,-73.982622 ,1,0,5001
2017,7,Hudson River Greenway,40.789547 ,-73.982622 ,1,0,7615
2017,9,Hudson River Greenway,40.789547 ,-73.982622 ,1,0,6519
2017,5,Twelfth Ave,40.761689 ,-74.001506 ,0,1,215
2017,7,Twelfth Ave,40.761689 ,-74.001506 ,0,1,154
2017,9,Twelfth Ave,40.761689 ,-74.001506 ,0,1,228
2017,5,Eleventh Ave,40.745436 ,-74.008148 ,0,1,672
2017,7,Eleventh Ave,40.745436 ,-74.008148 ,0,1,576
2017,9,Eleventh Ave,40.745436 ,-74.008148 ,0,1,688
2017,5,Tenth Ave,40.743088 ,-74.007708 ,0,0,771
2017,7,Tenth Ave,40.743088 ,-74.007708 ,0,0,910
2017,9,Tenth Ave,40.743088 ,-74.007708 ,0,0,857
2017,5,Ninth Ave,40.769415 ,-73.984751 ,1,0,2199
2017,7,Ninth Ave,40.769415 ,-73.984751 ,1,0,2177
2017,9,Ninth Ave,40.769415 ,-73.984751 ,1,0,2301
2017,5,Eighth Ave,40.751102 ,-73.994487 ,1,0,2240
